v.id,current price
1,231642.62
2,151222.45
3,141953.08
4,471271.62
5,480912.88
6,359607.72
7,204947.44
8,432790.75
9,119947.6
10,118471.305
11,204129.31
12,371582.78
13,228824.98
14,336313.25
15,407959.75
16,438206.72
17,68551.555
18,386155.25
19,236035.88
20,529122.2
21,469964.0
22,442682.88
23,199030.67
24,445094.34
25,458794.62
26,140619.3
27,474459.66
28,229745.03
29,185222.02
30,267034.53
31,317030.12
32,233400.94
33,260760.66
34,417635.8
35,395927.1
36,378873.03
37,369437.25
38,510403.78
39,480460.7
40,170210.34
41,303075.66
42,333208.7
43,222917.08
44,125206.414
45,534847.4
46,345122.66
47,51963.168
48,286742.7
49,322346.94
50,220953.83
51,487576.78
52,140255.64
53,245370.89
54,288647.5
55,332910.34
56,236011.52
57,167599.02
58,391121.16
59,254249.61
60,128615.305
61,525713.5
62,214490.14
63,430023.22
64,203527.5
65,511538.7
66,442586.97
67,169293.02
68,379506.94
69,442761.56
70,264972.25
71,478898.62
72,514082.34
73,89218.43
74,402453.78
75,409103.2
76,518784.78
77,529197.4
78,385078.72
79,318456.3
80,507835.88
81,310262.97
82,423640.94
83,206644.16
84,449906.72
85,156443.2
86,184285.97
87,199017.48
88,174488.47
89,365731.6
90,475672.44
91,384975.28
92,170333.23
93,138241.16
94,168845.78
95,222219.14
96,417485.78
97,317828.03
98,496175.25
99,263511.44
100,417366.8
