v.id,current price
1,232925.1153
2,149978.9671
3,142697.96574999997
4,469961.42525
5,482821.04985
6,362845.10025
7,202364.5481
8,432579.76714999997
9,119415.2216
10,113247.0875
11,205767.802
12,375636.93225
13,224350.26195000001
14,338325.39075
15,410649.17634999997
16,431430.5479
17,68498.89265
18,385750.79764999996
19,232828.2206
20,532458.2760000001
21,472640.79605
22,438452.1654
23,202793.56305
24,445567.78150000004
25,458502.3812
26,139848.29335
27,473371.807
28,232207.94994999998
29,184279.8061
30,266012.33205
31,315301.18255
32,234867.9019
33,260339.93875
34,414828.1246
35,399147.6807
36,378693.5033
37,372033.00415
38,509027.9648
39,479166.41975
40,169648.59315
41,299091.7914
42,333819.17130000005
43,222682.50795
44,121521.72065
45,532421.3833
46,346477.12525
47,51993.14229
48,286314.78555000003
49,322678.19105
50,221247.42674999998
51,487419.76875000005
52,136135.64595
53,242082.0808
54,287766.06205
55,335775.70845000003
56,235533.0888
57,165910.33584999997
58,388310.60065
59,256979.1092
60,127998.96875
61,525980.8734500001
62,213469.11785
63,436330.0964
64,199246.073
65,512440.74230000004
66,439369.48234999995
67,164230.64415
68,379688.20725
69,447456.65255
70,267327.45395
71,480390.80605
72,512778.83445
73,87623.42412
74,397953.12340000004
75,408331.25155000004
76,524453.31105
77,539533.2583
78,388733.41524999996
79,316813.0084
80,513688.08295
81,308262.5006
82,417819.68405000004
83,207186.75355000002
84,447562.7236
85,155043.2911
86,182697.13665
87,199533.13135
88,175349.40425000002
89,366679.03845
90,473164.46485
91,382008.9253
92,168319.65505
93,134688.7777
94,166107.9957
95,216251.0073
96,417301.1373
97,318303.0628
98,496898.29975
99,256444.25255
100,413627.872
